# Generation MaxFitness AvgFitness
439 0 37.4032
440 0 39.202
441 0 35.6022
442 0 34.9406
443 0 36.0436
444 0 29.6158
445 0 38.6511
446 0 38.6452
447 0 34.1041
448 0 35.7294
449 0 34.183
450 0 32.7355
451 0 34.3377
452 0 32.9866
453 0 30.3669
454 0 27.8789
455 0 23.7813
456 0 21.5234
457 0 22.2428
458 0 24.5027
459 0 22.2873
460 0 21.3863
461 0 21.682
462 0 21.6761
463 0 21.0493
464 0 20.408
465 0 22.3434
466 0 22.142
467 0 19.9175
468 0 22.138
469 0 20.3601
470 0 21.725
471 0 20.4876
472 0 19.5932
473 0 18.6155
474 0 17.1887
475 0 21.1753
476 0 18.85
477 0 18.3383
478 0 17.7849
479 0 18.253
480 0 19.2012
481 0 22.474
482 0 24.4058
483 0 25.6726
484 0 23.6017
485 0 23.8811
486 0 25.1512
487 0 25.9258
488 0 26.0371
489 0 23.2272
490 0 23.5569
491 0 23.8822
492 0 25.46
493 0 25.4935
494 0 25.1796
495 0 25.2521
496 0 25.8869
497 0 27.0229
498 0 30.8772
499 0 32.7503
500 0 29.4778
501 0 28.8457
502 0 30.3681
503 0 30.0578
504 0 29.4936
505 0 28.394
506 0 27.5961
507 0 25.1906
508 0 25.5256
509 0 25.5226
510 0 27.2787
511 0 25.5411
512 0 24.2193
513 0 21.9787
514 0 20.243
515 0 16.2161
516 0 18.6086
517 0 14.5982
518 0 15.6337
519 0 18.3452
520 0 20.5121
521 0 25.0473
522 0 25.1376
523 0 22.326
524 0 21.4517
525 0 21.091
526 0 22.0007
527 0 22.1364
528 0 22.0944
529 0 20.5015
530 0 19.9055
531 0 19.3758
532 0 19.2984
533 0 19.5504
534 0 19.2299
535 0 18.7744
536 0 17.5981
537 0 16.8788
538 0 18.1405
539 0 15.6924
540 0 14.073
541 0 29.0823
542 0 28.3164
543 0 26.9793
544 0 27.1939
545 0 28.7741
546 0 26.7827
547 0 24.7996
548 0 22.4871
549 0 19.8462
550 0 18.3258
551 0 19.3883
552 0 18.7282
553 0 19.2287
554 0 19.5843
555 0 23.8781
556 0 23.2513
557 0 22.2224
558 0 20.3692
559 0 25.7335
560 0 26.6103
561 0 28.6348
562 0 29.2268
563 0 30.6278
564 0 24.9558
565 0 22.7001
566 0 22.0378
567 0 21.1102
568 0 18.6639
569 0 17.8
570 0 15.6645
571 0 18.6219
572 0 17.4613
573 0 18.2911
574 0 15.985
575 0 14.8063
576 0 15.6117
577 0 13.5332
578 0 13.9459
579 0 17.3746
580 0 17.3018
581 0 19.6177
582 0 18.9823
583 0 17.57
584 0 20.7783
585 0 20.7853
586 0 17.1678
587 0 17.9341
588 0 18.2014
589 0 19.3124
590 0 18.4008
591 0 18.3743
592 0 19.967
593 0 18.4224
594 0 17.6486
595 0 20.3651
596 0 19.9214
597 0 21.7895
598 0 20.9951
599 0 21.4576
600 0 20.3372
601 0 22.0468
602 0 21.2566
603 0 23.9441
604 0 22.0769
605 0 23.475
606 0 24.2577
607 0 24.9477
608 0 22.6181
609 0 21.5488
610 0 22.625
611 0 24.3171
612 0 25.4276
613 0 25.5728
614 0 23.9009
615 0 24.9817
616 0 25.6262
617 0 25.8954
618 0 23.817
619 0 25.7153
620 0 25.3183
621 0 23.9813
622 0 24.5613
623 0 21.2729
624 0 20.6283
625 0 20.29
626 0 19.6293
627 0 20.3855
628 0 22.3116
629 0 21.3112
630 0 19.574
631 0 17.979
632 0 19.5821
633 0 17.5434
634 0 18.1354
635 0 18.2753
636 0 16.2447
637 0 17.0659
638 0 18.9943
639 0 20.9269
640 0 21.8837
641 0 21.2119
642 0 22.2433
643 0 23.3625
644 0 23.3809
645 0 23.3027
646 0 19.9874
647 0 19.086
648 0 20.9013
649 0 22.5175
650 0 26.2834
651 0 29.5024
652 0 25.7385
653 0 26.1855
654 0 24.7041
655 0 24.5853
656 0 25.0556
657 0 26.9323
658 0 25.0016
659 0 22.7693
660 0 21.8293
661 0 22.59
662 0 19.631
663 0 20.5714
664 0 20.8262
665 0 19.4939
666 0 17.3715
667 0 17.1153
668 0 15.5719
669 0 17.001
670 0 37.7003
671 0 39.1464
672 0 43.3862
673 0 46.3369
674 0 45.5726
675 0 59.978
676 0 58.5863
677 0 55.0928
678 0 51.0846
679 0 47.7253
680 0 43.9663
681 0 34.4789
682 0 33.5699
683 0 36.4185
684 0 35.7013
685 0 33.5667
686 0 32.735
687 0 29.925
688 0 29.0343
689 0 27.4934
690 0 26.928
691 0 24.6349
692 0 24.1407
693 0 23.4334
694 0 26.3342
695 0 25.3769
